Media,Event,Time Interval,Sample URLs,Relatedness (crowd),Relatedness (authors),Primary Type (or trigger),Primary Sub-type (or action),Secondary Type (or trigger),Secondary Sub-type (or action),Negativity,Magnitude,Predictability,Elite persons,Conflict,Unexpectedness
News,WMO annual assessment: 2013 Extreme weather due to climate change,24 March 2014,http://cnsnews.com/news/article/un-2013-extreme-events-due-warming-earth   http://www.wmo.int/pages/mediacentre/press_releases/pr_985_en.html,related to climate change,yes (related to climate change),govt (exec & legislative),publication/studies/research  [govt (exec & legislative)],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Antarctic ice melt causes small shift in gravity,30 September 2014,http://www.slate.com/blogs/future_tense/2014/09/29/antarctic_ice_melt_causes_small_shift_in_gravity.html?wpsrc=sh_all_dt_tw_bot   http://www.motherjones.com/environment/2014/09/antarctic-ice-melt-causes-small-shift-gravity,related to climate change,yes (related to climate change),govt (exec & legislative),publication/studies/research  [govt (exec & legislative)],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Moore/Oklahoma Tornado,21 May 2013,http://www.theguardian.com/world/2013/may/21/moore-oklahoma-tornado-climate-change?guni=Network%20front:network-front%20main-3%20Main%20trailblock:Network%20front%20-%20main%20trailblock:Position1:sublinks&utm_source=buffer&utm_medium=twitter&utm_campaign=Buffer&utm_content=buffer55b45   http://en.wikipedia.org/wiki/2013_Moore_tornado   http://grist.org/news/can-we-blame-climate-change-for-the-tornado-that-took-out-moore-oklahoma/,related to climate change,yes (related to climate change),disaster,natural hazards  [disaster],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Study: El Nino unusually active in the late 20th century,01 July 2013,http://www.eurekalert.org/pub_releases/2013-06/uoha-enu062813.php   http://www.reuters.com/article/2013/07/01/climate-elnino-idUSL5N0F72BW20130701,related to climate change,yes (related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Stem cell hamburger,05 August 2013,http://www.theguardian.com/science/2013/aug/05/first-hamburger-lab-grown-meat-press-conference   http://www.cbc.ca/news/technology/world-s-1st-lab-grown-burger-cooked-and-eaten-1.1337857,not related to climate change,yes (related to climate change),ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Facts on ice cream ads,02 December 2013-06 February 2014,https://twitter.com/uberfacts/status/481810798478913538,not related to climate change,no (not related to climate change),not applicable,not applicable,not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
News,Coal Summit speach by UN Climate Chief,18 November 2013,http://www.examiner.com/article/un-climate-expert-urges-coal-companies-to-adapt-and-diversify   http://www.denverpost.com/news/ci_24545761/un-climate-chief-calls-coal-industry-change,related to climate change,yes (related to climate change),govt (exec & legislative),meetings/conferences  [govt (exec & legislative)],for-profit (excl. media),generic (campaigns/statements/other)  [for-profit (excl. media)],this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Aston Martin Carbon Black Special Editions Automobile,25 October 2013,https://twitter.com/Rahmad__Wahyudi/status/393707478984052736,not related to climate change,no (not related to climate change),not applicable,not applicable,not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
Twitter,IPCC Fifth Assessment Report (AR5) - Summary for policy makers,23-27 September 2013,http://www.theguardian.com/environment/2013/sep/26/ipcc-climate-report-slow-progress?CMP=twt_gu   http://www.climatechange2013.org/images/report/WG1AR5_SPM_FINAL.pdf   http://news.sky.com/story/1146972/global-warming-95-percent-certain-say-scientists,related to climate change,yes (related to climate change),govt (exec & legislative),publication/studies/research  [govt (exec & legislative)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
Twitter,FoxNews tells scientist not to talk about climate change,01 May 2014,http://www.huffingtonpost.com/2014/04/30/fox-news-climate-change-michael-moyer_n_5242147.html?utm_hp_ref=tw   http://blogs.scientificamerican.com/observations/2014/04/30/my-experience-on-fox-friends-regarding-climate-change/,related to climate change,yes (related to climate change),individuals,generic (campaigns/statements/other)  [individuals],media,generic (campaigns/statements/other)  [media],this is bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an ordinary event
News,Irland: July sees temperatures hit record highs,01 August 2013,http://www.breakingnews.ie/ireland/july-sees-temperatures-hit-record-highs-in-many-parts-of-country-602344.html   http://www.independent.ie/irish-news/hottest-july-for-several-regions-29465294.html,not related to climate change,borderline (weakly related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Researchers revive 30000 year old virus,04 March 2014,http://www.bbc.com/news/science-environment-26387276   http://www.globalpost.com/dispatch/news/science/global-warming/140304/oh-great-ancient-virus-might-reveal-one-more-way-climate,related to climate change,yes (related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Prince Charles calls for sustainable fisheries,14 July 2014,http://www.irishsun.com/index.php/sid/223769121   http://www.telegraph.co.uk/earth/earthnews/8507820/Prince-Charles-warns-of-fisheries-collapse.html,weakly related to climate change,no (not related to climate change),individuals,generic (campaigns/statements/other)  [individuals],not applicable,not applicable,this is good news,the magnitude of this event is low,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Arctic sea ice recovers,16 December 2013,http://www.independent.co.uk/environment/climate-change/the-good-news-there-has-been-a-dramatic-increase-in-arctic-sea-ice-the-bad-its-still-half-the-level-is-was-in-the-1980s-9008388.html   http://www.bbc.com/news/science-environment-25383373?postId=118192465,related to climate change,yes (related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],govt (exec & legislative),generic (campaigns/statements/other)  [govt (exec & legislative)],this is good news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,White House: Delaying climate action will carry heavy economic cost,29 July 2014,http://www.theguardian.com/environment/2014/jul/29/delaying-climate-action-economic-cost-white-house-epa   http://www.nytimes.com/2014/07/30/us/politics/white-house-report-presses-economic-case-for-carbon-rule.html?partner=rss&emc=rss,related to climate change,yes (related to climate change),govt (exec & legislative),generic (campaigns/statements/other)  [govt (exec & legislative)],not applicable,not applicable,this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
News,Obama climate change plan in Congress,18 September 2013,https://au.finance.yahoo.com/news/congress-presses-details-obama-climate-145414906.html   http://www.huffingtonpost.com/2013/09/18/obama-climate-plans_n_3947036.html   http://www.usnews.com/news/politics/articles/2013/09/18/obamas-climate-plans-to-get-airing-in-congress,related to climate change,yes (related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Report on Keystone pipeline,27-28 February 2014,http://www.cbsnews.com/news/no-conflict-of-interest-in-keystone-environmental-review-report-says/   http://www.reuters.com/article/2014/02/27/usa-keystone-inspectorgeneral-idUSL1N0LV2OT20140227,not related to climate change,yes (related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],for-profit (excl. media),generic (campaigns/statements/other)  [for-profit (excl. media)],this is neither good nor bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an ordinary event
Twitter,Widespread methane leakage from ocean floor off US coast,25 August 2014,http://www.bbc.com/news/science-environment-28898223   http://www.nytimes.com/2014/08/25/science/methane-is-seeping-from-seafloor-off-east-coast-scientists-say.html,weakly related to climate change,yes (related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,"Viral video trailer ""Climate Heroes: Stories of Change""",03 September 2014,https://twitter.com/iansomerhalder/status/507250903255351296,related to climate change,yes (related to climate change),media,publication/studies/research  [media],not applicable,not applicable,this is good news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Protect our parks campaign,17 September 2014,https://twitter.com/john/status/512016527961636864   http://action.sumofus.org/a/bc-parks-open-oil-gas-mining/?awesm=clim.at_t8m&sub=homepage,not related to climate change,no (not related to climate change),ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an ordinary event
Twitter,IPCC draft report leaked,27 August 2014,http://www.bloomberg.com/news/2014-08-26/irreversible-damage-seen-from-climate-change-in-un-leak.html   http://www.newsweek.com/leaked-un-report-climate-change-impacts-already-inevitable-may-soon-be-irreversible-266860,related to climate change,yes (related to climate change),govt (exec & legislative),publication/studies/research  [govt (exec & legislative)],media,publication/studies/research  [media],this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Viral Tweet on solution to clean the oceans,06 November 2013,https://twitter.com/engineer4change/status/377884668055805952/photo/1   http://vr-zone.com/articles/19-year-old-inventor-finds-way-to-clean-up-the-worlds-oceans-in-under-5-years-time/19381.html,related to climate change,no (not related to climate change),individuals,generic (campaigns/statements/other)  [individuals],not applicable,not applicable,this is good news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Explaining Extreme Events of 2013 from a Climate Perspective,29 September 2014,http://www.cbc.ca/news/technology/global-warming-linked-to-several-extreme-weather-events-1.2781420   http://www2.ametsoc.org/ams/index.cfm/publications/bulletin-of-the-american-meteorological-society-bams/explaining-extreme-events-of-2013-from-a-climate-perspective/,related to climate change,yes (related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Philippines: Typhoon Utor,13 August 2013,http://blogs.wsj.com/indonesiarealtime/2013/08/12/typhoon-utor-batters-philippines-main-island-of-luzon/   http://en.wikipedia.org/wiki/Typhoon_Utor   http://thinkprogress.org/climate/2013/08/12/2449671/super-typhoon-utor-philippines/,not related to climate change,yes (related to climate change),disaster,natural hazards  [disaster],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Report: Acidic seawater poses risks in Alaska,29 July 2014,http://www.washingtontimes.com/news/2014/jul/29/report-more-acidic-seawater-poses-risks-in-alaska/   http://www.dailymail.co.uk/wires/ap/article-2709568/More-acidic-seawater-poses-risks-Alaska.html,related to climate change,yes (related to climate change),govt (exec & legislative),publication/studies/research  [govt (exec & legislative)],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Article on Scientific Consensus,15 May 2013,http://www.rtcc.org/2013/05/16/new-study-confirms-science-consensus-on-climate-change/   http://iopscience.iop.org/1748-9326/8/2/024024/article   http://www.globalpost.com/dispatch/news/afp/130515/overwhelming-consensus-manmade-warming,related to climate change,yes (related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,2013 United Nations Climate Change Conference,11-21 November 2013,http://america.aljazeera.com/articles/2013/11/20/un-climate-talksfacerichpoorroadblock.html   http://en.wikipedia.org/wiki/2013_United_Nations_Climate_Change_Conference   http://www.theguardian.com/environment/2013/nov/20/international-deal-climate-change-warsaw?CMP=twt_gu   http://www.canberratimes.com.au/environment/climate-change/lack-of-progress-at-warsaw-climate-talks-prompts-green-groups-exit-20131121-2xze8.html,related to climate change,yes (related to climate change),govt (exec & legislative),meetings/conferences  [govt (exec & legislative)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
Twitter,"Secretary of state, John Kerry speech in Indonesia",16-18 February 2014,http://www.aljazeera.com/news/asia-pacific/2014/02/kerry-indonesia-discuss-climate-change-201421615828444704.html   http://www.bbc.com/news/world-asia-26214135#TWEET1045506,related to climate change,yes (related to climate change),govt (exec & legislative),generic (campaigns/statements/other)  [govt (exec & legislative)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
Twitter,Light Pollution Captured in Stunning NASA Satellite Images,13 August 2013,http://www.ecorazzi.com/2012/12/06/u-s-light-pollution-captured-in-stunning-new-satellite-images-video/   https://twitter.com/IntThings/status/367215966700068864,not related to climate change,no (not related to climate change),govt (exec & legislative),generic (campaigns/statements/other)  [govt (exec & legislative)],not applicable,not applicable,this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Ohio zoo tries to mate rhino siblings,21 July 2013,http://www.guardian.co.uk/environment/2013/jul/21/cincinnati-zoo-mate-sumatran-rhino   http://www.foxnews.com/science/2013/07/21/ohio-zoo-tries-to-mate-rhino-siblings/,not related to climate change,no (not related to climate change),not applicable,not applicable,not applicable,not applicable,this is good news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Campaign: Tell President Obama to take an important step in federal #climate action,18 April 2013,https://twitter.com/sundogsam/status/324915675707613184,related to climate change,yes (related to climate change),ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could have know this will happen,"this involves someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,EPA's redistribution of land,20 February 2014,http://news.investors.com/ibd-editorials/021914-690505-epa-transfers-wyoming-land-to-indians.htm,not related to climate change,no (not related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Campaign: Urge EPA to reduce smog-forming pollution,23 April 2013,https://twitter.com/Ameribugger/status/326658084145623040,not related to climate change,borderline (weakly related to climate change),ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
Twitter,EPA Proposes 1st Carbon Emissions Limits for power plants,20 September 2013,http://yosemite.epa.gov/opa/admpress.nsf/0/da9640577ceacd9f85257beb006cb2b6!OpenDocument   http://news.yahoo.com/obama-takes-coal-first-ever-carbon-limits-021642513--politics.html?utm_source=twitterfeed&utm_medium=twitter   http://ens-newswire.com/2013/09/20/epa-proposes-1st-carbon-emissions-limits-on-new-power-plants/,weakly related to climate change,yes (related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],for-profit (excl. media),generic (campaigns/statements/other)  [for-profit (excl. media)],this is good news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,America's map if all world ice melts,09 November 2013,http://beforeitsnews.com/beyond-science/2013/11/new-map-shows-america-after-all-ice-melts-2444228.html?utm_source=http%3A%2F%2Ft.co%2FAwoDz9nV7M&utm_term=http%3A%2F%2Fb4in.info%2FqOUZ&utm_content=beforeit39snews-buttonsunderheadline&utm_campaign=&utm_medium=twitter,related to climate change,yes (related to climate change),media,publication/studies/research  [media],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Auction prize the right to hunt endangered rhino,31 October 2013,http://www.cbsnews.com/8301-205_162-57610228/kill-one-to-save-the-species-texas-club-auctions-chance-to-hunt-endangered-rhino/   http://www.savetherhino.org/latest_news/news/832_the_dallas_safari_club_controversy,not related to climate change,no (not related to climate change),ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],individuals,generic (campaigns/statements/other)  [individuals],this is bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
News,Nicaragua canal project approved,13 June 2013,http://www.huffingtonpost.com/2013/06/13/nicaragua-canal-approves-40-billion_n_3436501.html?utm_hp_ref=green   http://www.businessinsider.com/china-is-building-a-nicaragua-canal-2013-6?IR=T,not related to climate change,borderline (weakly related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
News,North Carolina coal ash contamination story,17 June 2014,http://cnsnews.com/news/article/nc-hamlet-residents-worry-over-coal-ash-ponds-0   http://www.washingtontimes.com/news/2014/jun/17/in-nc-hamlet-residents-worry-over-coal-ash-ponds/,weakly related to climate change,borderline (weakly related to climate change),disaster,human-induced hazards  [disaster],for-profit (excl. media),generic (campaigns/statements/other)  [for-profit (excl. media)],this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Obama order to boost renewable power by 20 percent,05 December 2013,http://www.bostonherald.com/news_opinion/us_politics/2013/12/obama_to_feds_boost_renewable_power_20_percent   http://www.csmonitor.com/Environment/Energy-Voices/2013/1205/Obama-wants-to-clean-up-Washington-energy,weakly related to climate change,yes (related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],not applicable,not applicable,this is good news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,"EPA waiving fees for liberals, charging conservatives",14 May-05 June 2013,http://www.frontpagemag.com/2013/dgreenfield/epa-waives-fees-for-92-of-liberal-groups-applies-them-to-conservative-groups/   http://www.washingtonexaminer.com/article/2529609,weakly related to climate change,no (not related to climate change),govt (exec & legislative),generic (campaigns/statements/other)  [govt (exec & legislative)],ngos / groups of people,legal actions involving ngos  [ngos / groups of people],this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an ordinary event
Twitter,Carbon bubble will plunge the world into another financial crisis,19 April 2013,http://www.rawstory.com/rs/2013/04/carbon-bubble-leading-to-another-financial-crisis-economists-warn/   http://www.theguardian.com/environment/2013/apr/19/carbon-bubble-financial-crash-crisis?CMP=twt_fd,weakly related to climate change,yes (related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Statements by astrophysicist Neil deGrasse Tyson,20 February 2014,https://twitter.com/neiltyson/status/436290086334771200   https://twitter.com/neiltyson/status/436288340292145152,not related to climate change,yes (related to climate change),individuals,generic (campaigns/statements/other)  [individuals],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is low,a member of the public could have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
News,Moore/Oklahoma Tornado,21 May 2013,http://cnsnews.com/news/article/power-moore-tornado-dwarfs-hiroshima-bomb   http://en.wikipedia.org/wiki/2013_Moore_tornado   http://www.news24.com/Green/News/Moore-tornado-a-rarity-Experts-20130521,not related to climate change,borderline (weakly related to climate change),disaster,natural hazards  [disaster],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Heirs to Rockefeller oil fortune divest from fossil fuels over climate change,22 September 2014,http://www.theguardian.com/environment/2014/sep/22/rockefeller-heirs-divest-fossil-fuels-climate-change?CMP=twt_gu   http://www.bbc.com/news/world-us-canada-29310475?ocid=socialflow_twitter,related to climate change,yes (related to climate change),individuals,generic (campaigns/statements/other)  [individuals],not applicable,not applicable,this is good news,the magnitude of this event is high,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,National Park in Miami bans fish harvests,07 August 2014,http://cnsnews.com/news/article/national-park-near-miami-may-ban-fish-harvests   http://news.yahoo.com/national-park-near-miami-may-ban-fish-harvests-161702142.html,not related to climate change,no (not related to climate change),not applicable,not applicable,not applicable,not applicable,this is good news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
News,Court Hearing: GreenPeace Activists to stay in jail,18 November 2013,http://news.yahoo.com/russian-court-greenpeace-activist-stay-jail-120446718--finance.html   http://cnsnews.com/news/article/russian-court-frees-2-greenpeace-members-bail,not related to climate change,borderline (weakly related to climate change),ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],govt (exec & legislative),legal actions  [govt (exec & legislative)],this is neither good nor bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,Gaza Conflict,08-30 July 2014,https://twitter.com/WilliamsJon/status/494232889924395009/photo/1   https://twitter.com/IsraelHatzolah/status/486476950735552512/photo/1,not related to climate change,no (not related to climate change),not applicable,not applicable,not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
News,NOAA: 2014 hurricane season forecast,22 May 2014,http://www.cbc.ca/news/technology/2014-hurricane-season-forecast-released-1.2650751   http://reliefweb.int/report/world/noaa-2014-eastern-pacific-hurricane-season-outlook,not related to climate change,borderline (weakly related to climate change),govt (exec & legislative),publication/studies/research  [govt (exec & legislative)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
News,California & Mexico environmental meeting,28 July 2014,http://gov.ca.gov/news.php?id=18614   http://www.latinpost.com/articles/18083/20140728/california-governor-jerry-brown-meet-mexico-president-enrique-pe%C3%B1a-nieto.htm   http://www.reuters.com/article/2014/07/28/us-climatechange-california-mexico-idUSKBN0FX1XO20140728,related to climate change,yes (related to climate change),govt (exec & legislative),meetings/conferences  [govt (exec & legislative)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could have know this will happen,"this involves someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an ordinary event
News,Alaska Permanent Fund,18 September 2013,http://www.foxnews.com/us/2013/09/18/most-alaskans-will-get-00-for-2013-share-state-oil-wealth/   http://en.wikipedia.org/wiki/Alaska_Permanent_Fund   http://news.yahoo.com/alaskans-eager-hear-amount-oil-wealth-checks-054530691--finance.html,not related to climate change,no (not related to climate change),govt (exec & legislative),legal actions  [govt (exec & legislative)],not applicable,not applicable,this is good news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Tropical Storm Karen,05 October 2013,http://uk.reuters.com/article/2013/10/06/uk-storm-karen-idUKBRE99501L20131006   http://en.wikipedia.org/wiki/Tropical_Storm_Karen   http://www.ndtv.com/article/world/evacuations-ordered-as-tropical-storm-karen-nears-us-coast-428089,related to climate change,yes (related to climate change),disaster,natural hazards  [disaster],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Super Typhoon Usagi,20 September 2013,http://en.wikipedia.org/wiki/Typhoon_Usagi_(2013)   https://sg.news.yahoo.com/super-typhoon-usagi-path-destruction-063833367.html   http://www.abc.net.au/news/2013-09-20/an-super-typhoon-usagi-approaches-philippines/4972428,not related to climate change,borderline (weakly related to climate change),disaster,natural hazards  [disaster],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,"February 11-17, 2014 North American winter storm",13 February 2014,"http://www.cbc.ca/news/world/deadly-u-s-winter-storm-pummels-east-coast-kills-15-1.2535060   http://en.wikipedia.org/wiki/February_11%E2%80%9317,_2014_North_American_winter_storm",weakly related to climate change,yes (related to climate change),disaster,natural hazards  [disaster],not applicable,not applicable,this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
